departement,num_circo,exprimes,nuls,blancs,votants,abstentions,inscrits,nom,nuance,voix,perc_ins,perc_exp,status
01,05,51532,463,978,52973,24927,77900,M. Fabrice BOURDIN,LR,1623,2.08,3.15,Battu
01,05,51532,463,978,52973,24927,77900,Mme Sylvie CROZET,EXG,606,0.78,1.18,Battu
01,05,51532,463,978,52973,24927,77900,M. Thomas CHATELARD,ECO,484,0.62,0.94,Battu
01,05,51532,463,978,52973,24927,77900,Mme Maria Cristina PATRU,REC,429,0.55,0.83,Battu
02,01,45469,429,1189,47087,24968,72055,M. Nicolas DRAGON,RN,24774,34.38,54.49,Elu
02,01,45469,429,1189,47087,24968,72055,M. Damien DELAVENNE,ENS,10380,14.41,22.83,Battu
02,01,45469,429,1189,47087,24968,72055,M. Charles CULIOLI,UG,8654,12.01,19.03,Battu
02,01,45469,429,1189,47087,24968,72055,M. Jean-Loup PERNELLE,EXG,701,0.97,1.54,Battu
02,01,45469,429,1189,47087,24968,72055,M. Philippe TRÉGUIER,REC,644,0.89,1.42,Battu
02,01,45469,429,1189,47087,24968,72055,M. Matthieu Léon BOUFFLET,DIV,316,0.44,0.69,Battu
02,02,45675,303,716,46694,26471,73165,M. Philippe TORRE,RN,21496,29.38,47.06,Qualif
02,02,45675,303,716,46694,26471,73165,M. Julien DIVE,LR,16288,22.26,35.66,Qualif
02,02,45675,303,716,46694,26471,73165,Mme Anne-Sophie DUJANCOURT,UG,6511,8.9,14.26,Battu
02,02,45675,303,716,46694,26471,73165,M. Didier KACZMAREK,REC,561,0.77,1.23,Battu
02,02,45675,303,716,46694,26471,73165,Mme Corinne BÉCOURT,EXG,497,0.68,1.09,Battu
02,02,45675,303,716,46694,26471,73165,Mme Anne ZANDITÉNAS,EXG,322,0.44,0.7,Battu
02,03,40901,487,952,42340,23648,65988,M. Eddy CASTERMAN,EXD,23577,35.73,57.64,Elu
02,03,40901,487,952,42340,23648,65988,M. Jean-Louis BRICOUT,DVG,15385,23.31,37.62,Battu
02,03,40901,487,952,42340,23648,65988,M. Damien CRÉON,DSV,1165,1.77,2.85,Battu
02,03,40901,487,952,42340,23648,65988,Mme Laetitia VOISIN,EXG,763,1.16,1.87,Battu
02,03,40901,487,952,42340,23648,65988,Mme Anne-Marie FOURNIER,REC,11,0.02,0.03,Battu
02,04,47081,400,992,48473,30463,78936,M. José BEAURAIN,RN,25913,32.83,55.04,Elu
02,04,47081,400,992,48473,30463,78936,M. Benjamin MAURICE,ENS,10448,13.24,22.19,Battu
02,04,47081,400,992,48473,30463,78936,Mme Lola PRIÉ,UG,9335,11.83,19.83,Battu
02,04,47081,400,992,48473,30463,78936,Mme Flora BOUILLAGUET,EXG,832,1.05,1.77,Battu
02,04,47081,400,992,48473,30463,78936,M. Philippe GOUJARD,EXD,553,0.7,1.17,Battu
02,05,52139,743,1029,53911,28600,82511,M. Jocelyn DESSIGNY,RN,27670,33.53,53.07,Elu
02,05,52139,743,1029,53911,28600,82511,Mme Jeanne ROUSSEL,ENS,10811,13.1,20.73,Battu
02,05,52139,743,1029,53911,28600,82511,M. Karim BELAÏD,UG,10272,12.45,19.7,Battu
02,05,52139,743,1029,53911,28600,82511,Mme Jade GILQUIN,LR,2665,3.23,5.11,Battu
02,05,52139,743,1029,53911,28600,82511,Mme Yona MERBOUCHE,EXG,721,0.87,1.38,Battu
03,01,59100,974,1185,61259,27288,88547,Mme Anne-Marie THÈS,RN,22816,25.77,38.61,Qualif
03,01,59100,974,1185,61259,27288,88547,M. Yannick MONNET,UG,17043,19.25,28.84,Qualif
03,01,59100,974,1185,61259,27288,88547,M. Stephane LARZAT,ENS,8811,9.95,14.91,Battu
03,01,59100,974,1185,61259,27288,88547,Mme Alexandra BARDET,LR,7889,8.91,13.35,Battu
03,01,59100,974,1185,61259,27288,88547,M. Jean-Marie GUILLAUMIN,UDI,1303,1.47,2.2,Battu
03,01,59100,974,1185,61259,27288,88547,M. Jean-Marc COLLOT,EXG,636,0.72,1.08,Battu
03,01,59100,974,1185,61259,27288,88547,Mme Blandine AGEZ,REC,602,0.68,1.02,Battu
03,02,51881,1056,1409,54346,25531,79877,M. Jorys BOVET,RN,17810,22.3,34.33,Qualif
03,02,51881,1056,1409,54346,25531,79877,Mme Louise HERITIER,UG,12482,15.63,24.06,Qualif
03,02,51881,1056,1409,54346,25531,79877,M. Romain LEFEBVRE,LR,10204,12.77,19.67,Qualif
03,02,51881,1056,1409,54346,25531,79877,Mme Laurence VANCEUNEBROCK,ENS,6524,8.17,12.57,Battu
03,02,51881,1056,1409,54346,25531,79877,M. Nicolas ROUSSEAUX,DVD,3548,4.44,6.84,Battu
03,02,51881,1056,1409,54346,25531,79877,M. Bernard LEBEL,EXG,802,1,1.55,Battu
03,02,51881,1056,1409,54346,25531,79877,Mme Alice GONÇALVES,REC,511,0.64,0.98,Battu
03,03,53592,709,1011,55312,24756,80068,M. Nicolas RAY,LR,21464,26.81,40.05,Qualif
03,03,53592,709,1011,55312,24756,80068,M. Rémy QUENEY,RN,20270,25.32,37.82,Qualif
03,03,53592,709,1011,55312,24756,80068,Mme Aline JEUDI,UG,10935,13.66,20.4,Qualif
03,03,53592,709,1011,55312,24756,80068,M. Jean-François RAMEAU,EXG,923,1.15,1.72,Battu
04,01,42026,382,871,43279,18194,61473,M. Christian GIRARD,RN,18616,30.28,44.3,Qualif
04,01,42026,382,871,43279,18194,61473,M. Felix BLANC,UG,11457,18.64,27.26,Qualif
04,01,42026,382,871,43279,18194,61473,M. Benoit GAUVAN,ENS,8132,13.23,19.35,Qualif
04,01,42026,382,871,43279,18194,61473,Mme Sandra RAPONI,LR,2956,4.81,7.03,Battu
04,01,42026,382,871,43279,18194,61473,Mme Patricia CAMPART,REC,468,0.76,1.11,Battu
04,01,42026,382,871,43279,18194,61473,Mme Annabel ROS,EXG,396,0.64,0.94,Battu
04,01,42026,382,871,43279,18194,61473,Mme Nadia LAKHLEF TSALAMLAL,UDI,1,0,0,Battu
04,02,44785,480,1295,46560,20111,66671,Mme Sophie VAGINAY,UXD,18314,27.47,40.89,Qualif
04,02,44785,480,1295,46560,20111,66671,M. Léo WALTER,UG,14774,22.16,32.99,Qualif
04,02,44785,480,1295,46560,20111,66671,Mme Dominique BLANC,ENS,10162,15.24,22.69,Qualif
04,02,44785,480,1295,46560,20111,66671,Mme Myriam CADENEL,REC,585,0.88,1.31,Battu
04,02,44785,480,1295,46560,20111,66671,M. Loan REYNAUD,DVD,512,0.77,1.14,Battu
04,02,44785,480,1295,46560,20111,66671,M. Henri CYVOCT,EXG,438,0.66,0.98,Battu
05,01,41244,457,815,42516,17531,60047,M. Jérôme SAINTE-MARIE,RN,15772,26.27,38.24,Qualif
05,01,41244,457,815,42516,17531,60047,Mme Marie-José ALLEMAND,UG,12568,20.93,30.47,Qualif
05,01,41244,457,815,42516,17531,60047,Mme Pascale BOYER,ENS,9312,15.51,22.58,Qualif
05,01,41244,457,815,42516,17531,60047,M. Dorian DEININGER,LR,2949,4.91,7.15,Battu
05,01,41244,457,815,42516,17531,60047,Mme Véronique BUISSON,EXG,643,1.07,1.56,Battu
05,02,38714,301,701,39716,14801,54517,M. Louis ALBRAND,RN,13115,24.06,33.88,Qualif
05,02,38714,301,701,39716,14801,54517,Mme Valérie ROSSI,UG,12661,23.22,32.7,Qualif
05,02,38714,301,701,39716,14801,54517,M. Sébastien FINE,ENS,10338,18.96,26.7,Qualif
05,02,38714,301,701,39716,14801,54517,M. Johann MONDAIN,DIV,2206,4.05,5.7,Battu
05,02,38714,301,701,39716,14801,54517,M. Boris GUIGNARD,EXG,394,0.72,1.02,Battu
06,01,50709,362,667,51738,30141,81879,M. Eric CIOTTI,UXD,20809,25.41,41.04,Qualif
06,01,50709,362,667,51738,30141,81879,M. Olivier SALERNO,UG,13499,16.49,26.62,Qualif
06,01,50709,362,667,51738,30141,81879,M. Graig MONETTI,ENS,11558,14.12,22.79,Qualif
06,01,50709,362,667,51738,30141,81879,M. Virgile VANIER-GUÉRIN,LR,2933,3.58,5.78,Battu
06,01,50709,362,667,51738,30141,81879,Mme Lalla Chama BEN MOULAY,ECO,1427,1.74,2.81,Battu
06,01,50709,362,667,51738,30141,81879,M. Alain LANGOUET,EXG,313,0.38,0.62,Battu
06,01,50709,362,667,51738,30141,81879,M. Jean-Claude Wahid SPACH,REG,136,0.17,0.27,Battu
06,01,50709,362,667,51738,30141,81879,M. Maxime BOVIS,DIV,34,0.04,0.07,Battu
06,02,59641,430,996,61067,29314,90381,M. Lionel TIVOLI,RN,28676,31.73,48.08,Qualif
06,02,59641,430,996,61067,29314,90381,Mme Leïla TONNERRE,UG,11339,12.55,19.01,Qualif
06,02,59641,430,996,61067,29314,90381,M. David VARRONE,ENS,9856,10.9,16.53,Battu
06,02,59641,430,996,61067,29314,90381,M. Simon DARAGON,LR,6162,6.82,10.33,Battu
06,02,59641,430,996,61067,29314,90381,M. Patrice MIRAN,ECO,2296,2.54,3.85,Battu
06,02,59641,430,996,61067,29314,90381,Mme Indiana PORET-RINCK,EXD,931,1.03,1.56,Battu
06,02,59641,430,996,61067,29314,90381,M. Florent IMBERT,EXG,381,0.42,0.64,Battu
06,03,57837,412,763,59012,32712,91724,M. Bernard CHAIX,UXD,23983,26.15,41.47,Qualif
06,03,57837,412,763,59012,32712,91724,Mme Laure QUIGNARD,UG,15754,17.18,27.24,Qualif
06,03,57837,412,763,59012,32712,91724,M. Philippe PRADAL,ENS,14670,15.99,25.36,Qualif
06,03,57837,412,763,59012,32712,91724,Mme Marie Françoise CAUSSIN,ECO,1675,1.83,2.9,Battu
06,03,57837,412,763,59012,32712,91724,M. Thibault DELHEZ,DSV,883,0.96,1.53,Battu
06,03,57837,412,763,59012,32712,91724,Mme Estelle JAQUET,EXG,438,0.48,0.76,Battu
06,03,57837,412,763,59012,32712,91724,Mme Marjorie VIVO,ECO,434,0.47,0.75,Battu
06,04,54249,637,985,55871,29789,85660,Mme Alexandra MASSON,RN,30528,35.64,56.27,Elu
06,04,54249,637,985,55871,29789,85660,Mme Anne-Pascale GUEDON,ENS,11190,13.06,20.63,Battu
06,04,54249,637,985,55871,29789,85660,Mme Virginie PARENT,UG,9861,11.51,18.18,Battu
06,04,54249,637,985,55871,29789,85660,Mme Christine BEYL,ECO,1717,2,3.17,Battu
06,04,54249,637,985,55871,29789,85660,M. Joseph MARKIEL,EXG,953,1.11,1.76,Battu
06,05,59197,503,1114,60814,30418,91232,Mme Christelle D'INTORNI,UXD,29804,32.67,50.35,Elu
06,05,59197,503,1114,60814,30418,91232,M. Fabrice DECOUPIGNY,UG,12233,13.41,20.66,Battu
06,05,59197,503,1114,60814,30418,91232,M. Gaël NOFRI,ENS,8473,9.29,14.31,Battu
06,05,59197,503,1114,60814,30418,91232,M. Patrice BENOIT,DIV,6375,6.99,10.77,Battu
06,05,59197,503,1114,60814,30418,91232,M. Axel HVIDSTEN,ECO,1876,2.06,3.17,Battu
06,05,59197,503,1114,60814,30418,91232,Mme Agnès BENKEMOUN,EXG,436,0.48,0.74,Battu
06,06,54485,231,980,55696,24490,80186,M. Bryan MASSON,RN,27705,34.55,50.85,Elu
06,06,54485,231,980,55696,24490,80186,Mme Laurence TRASTOUR-ISNART,LR,16213,20.22,29.76,Battu
06,06,54485,231,980,55696,24490,80186,Mme Nicole MAZZELLA,UG,8281,10.33,15.2,Battu
06,06,54485,231,980,55696,24490,80186,M. Pierre PIACENTINI,ECO,1927,2.4,3.54,Battu
06,06,54485,231,980,55696,24490,80186,Mme Daniele BARTOLI,EXG,359,0.45,0.66,Battu
06,07,65866,261,761,66888,29396,96284,M. Thierry FERRAND,RN,23921,24.84,36.32,Qualif
06,07,65866,261,761,66888,29396,96284,M. Eric PAUGET,LR,16389,17.02,24.88,Qualif
06,07,65866,261,761,66888,29396,96284,Mme Aline ABRAVANEL,ENS,11510,11.95,17.47,Battu
06,07,65866,261,761,66888,29396,96284,M. Arthur MEYER-ABBATUCCI,UG,10974,11.4,16.66,Battu
06,07,65866,261,761,66888,29396,96284,Mme Marylin ZBIROU,ECO,1651,1.71,2.51,Battu
06,07,65866,261,761,66888,29396,96284,M. David QUINTELA,REC,932,0.97,1.41,Battu
06,07,65866,261,761,66888,29396,96284,M. Christian PETARD,EXG,264,0.27,0.4,Battu
06,07,65866,261,761,66888,29396,96284,M. Enzo DEWASMES,DIV,225,0.23,0.34,Battu
06,08,53836,257,581,54674,29740,84414,Mme Dorette LANDERER,RN,23010,27.26,42.74,Qualif
06,08,53836,257,581,54674,29740,84414,Mme Alexandra MARTIN,LR,15284,18.11,28.39,Qualif
06,08,53836,257,581,54674,29740,84414,Mme Lucia SOUDANT,UG,7837,9.28,14.56,Battu
06,08,53836,257,581,54674,29740,84414,M. Mike CASTRO DEMARIA,ENS,6508,7.71,12.09,Battu
06,08,53836,257,581,54674,29740,84414,Mme Anne ITTY,ECO,950,1.13,1.76,Battu
06,08,53836,257,581,54674,29740,84414,Mme Marie-José PEREIRA,EXG,181,0.21,0.34,Battu
06,08,53836,257,581,54674,29740,84414,M. Christophe NEUTZLER,DIV,66,0.08,0.12,Battu
06,09,54178,237,684,55099,27287,82386,M. Franck GALBERT,RN,22921,27.82,42.31,Qualif
06,09,54178,237,684,55099,27287,82386,Mme Michèle TABAROT,LR,18334,22.25,33.84,Qualif
06,09,54178,237,684,55099,27287,82386,M. José GARCIA ABIA,UG,9987,12.12,18.43,Battu
06,09,54178,237,684,55099,27287,82386,Mme Henriette PALMERS,ECO,1742,2.11,3.22,Battu
06,09,54178,237,684,55099,27287,82386,M. Sylvain LIENHARDT,EXD,900,1.09,1.66,Battu
06,09,54178,237,684,55099,27287,82386,Mme Liliane PÉCOUT,EXG,294,0.36,0.54,Battu
07,01,54412,507,1072,55991,23605,79596,Mme Céline PORQUET,RN,21736,27.31,39.95,Qualif
07,01,54412,507,1072,55991,23605,79596,M. Hervé SAULIGNAC,UG,20809,26.14,38.24,Qualif
07,01,54412,507,1072,55991,23605,79596,Mme Séverine GINEYS,ENS,6651,8.36,12.22,Battu
07,01,54412,507,1072,55991,23605,79596,Mme Marie-Pierre CHAIX,LR,3067,3.85,5.64,Battu
07,01,54412,507,1072,55991,23605,79596,M. Thierry DORNE,DSV,651,0.82,1.2,Battu
07,01,54412,507,1072,55991,23605,79596,Mme Muriel VANDER DONCKT,EXG,518,0.65,0.95,Battu
07,01,54412,507,1072,55991,23605,79596,Mme Maryse LECLERC,REC,506,0.64,0.93,Battu
07,01,54412,507,1072,55991,23605,79596,M. Pascal CHAMBONNET,EXG,474,0.6,0.87,Battu
07,02,68290,694,1420,70404,26734,97138,M. Vincent TREBUCHET,UXD,24417,25.14,35.75,Qualif
07,02,68290,694,1420,70404,26734,97138,Mme Michèle VICTORY,UG,17051,17.55,24.97,Qualif
07,02,68290,694,1420,70404,26734,97138,Mme Laurence HEYDEL GRILLERE,ENS,11904,12.25,17.43,Battu
07,02,68290,694,1420,70404,26734,97138,M. Jean-Paul VALLON,DVD,10509,10.82,15.39,Battu
07,02,68290,694,1420,70404,26734,97138,M. Rémy NODIN,DIV,2197,2.26,3.22,Battu
07,02,68290,694,1420,70404,26734,97138,M. Gérard MONTREYNAUD,REC,777,0.8,1.14,Battu
07,02,68290,694,1420,70404,26734,97138,M. Jacky RITZ,DSV,613,0.63,0.9,Battu
07,02,68290,694,1420,70404,26734,97138,Mme Michèle GAILLARD,EXG,609,0.63,0.89,Battu
07,02,68290,694,1420,70404,26734,97138,M. Gérard JULIEN,DIV,213,0.22,0.31,Battu
07,03,57371,471,845,58687,22335,81022,M. Cyrille GRANGIER,RN,18328,22.62,31.95,Qualif
07,03,57371,471,845,58687,22335,81022,Mme Florence PALLOT,UG,16239,20.04,28.31,Qualif
07,03,57371,471,845,58687,22335,81022,M. Fabrice BRUN,DVD,15194,18.75,26.48,Qualif
07,03,57371,471,845,58687,22335,81022,M. Quentin BONNETAIN,ENS,5984,7.39,10.43,Battu
07,03,57371,471,845,58687,22335,81022,M. Christophe MARCHISIO,EXG,482,0.59,0.84,Battu
07,03,57371,471,845,58687,22335,81022,M. Jacques MARCESSE,REC,479,0.59,0.83,Battu
07,03,57371,471,845,58687,22335,81022,M. Laurent TOUZET,REG,331,0.41,0.58,Battu
07,03,57371,471,845,58687,22335,81022,M. Alexandre FAURE,EXG,327,0.4,0.57,Battu
07,03,57371,471,845,58687,22335,81022,M. Félix ZAGUEDOUN-REYNAUD,DIV,7,0.01,0.01,Battu
08,01,46480,411,660,47551,23113,70664,M. Flavien TERMET,RN,17817,25.21,38.33,Qualif
08,01,46480,411,660,47551,23113,70664,M. Lionel VUIBERT,ENS,12157,17.2,26.16,Qualif
08,01,46480,411,660,47551,23113,70664,M. Damien LEROUGE,UG,8127,11.5,17.48,Battu
08,01,46480,411,660,47551,23113,70664,M. Christian CHARVET,EXD,4257,6.02,9.16,Battu
08,01,46480,411,660,47551,23113,70664,Mme Sabine MISSET,LR,1782,2.52,3.83,Battu
08,01,46480,411,660,47551,23113,70664,M. Arnaud RENNESSON,DIV,998,1.41,2.15,Battu
08,01,46480,411,660,47551,23113,70664,Mme Sonia D'ORGEVILLE,ECO,956,1.35,2.06,Battu
08,01,46480,411,660,47551,23113,70664,Mme Nadia OCTAVE,EXG,386,0.55,0.83,Battu
08,02,36971,223,375,37569,22712,60281,Mme Pauline MESTER,RN,15097,25.04,40.83,Qualif
08,02,36971,223,375,37569,22712,60281,M. Pierre CORDIER,DVD,11147,18.49,30.15,Qualif
08,02,36971,223,375,37569,22712,60281,M. Gilles LOYEZ,UG,6688,11.09,18.09,Battu
08,02,36971,223,375,37569,22712,60281,M. Philippe MATHOT,ENS,3467,5.75,9.38,Battu
08,02,36971,223,375,37569,22712,60281,Mme Mink TAKAWE,EXG,308,0.51,0.83,Battu
08,02,36971,223,375,37569,22712,60281,M. Patrick BENYOUCEF,EXG,264,0.44,0.71,Battu
08,03,35263,258,349,35870,18614,54484,M. Jean-Luc WARSMANN,DVD,15362,28.2,43.56,Qualif
08,03,35263,258,349,35870,18614,54484,Mme Isabelle ROGER,RN,15296,28.07,43.38,Qualif
08,03,35263,258,349,35870,18614,54484,Mme Sophie PERRIN,UG,4139,7.6,11.74,Battu
08,03,35263,258,349,35870,18614,54484,Mme Laure AUGIER,EXG,466,0.86,1.32,Battu
09,01,37931,969,1930,40830,16586,57416,Mme Martine FROGER,UG,19245,33.52,50.74,Elu
09,01,37931,969,1930,40830,16586,57416,M. Jean-Marc GARNIER,RN,15049,26.21,39.67,Battu
09,01,37931,969,1930,40830,16586,57416,Mme Gisèle LAPEYRE,EXG,2756,4.8,7.27,Battu
09,01,37931,969,1930,40830,16586,57416,M. Pascal MASCETTI,REC,881,1.53,2.32,Battu
09,02,41268,751,1470,43489,18562,62051,M. Laurent PANIFOUS,UG,19911,32.09,48.25,Qualif
09,02,41268,751,1470,43489,18562,62051,Mme Michèle ALOZY,RN,16678,26.88,40.41,Qualif
09,02,41268,751,1470,43489,18562,62051,M. Yann DE KERIMEL,DVD,2023,3.26,4.9,Battu
09,02,41268,751,1470,43489,18562,62051,Mme Théodora TESTARD,EXG,1852,2.98,4.49,Battu
09,02,41268,751,1470,43489,18562,62051,Mme Alexandra TARRIEUX-ANTRANIKIAN,REC,804,1.3,1.95,Battu
10,01,42044,614,836,43494,20479,63973,M. Jordan GUITTON,RN,22636,35.38,53.84,Elu
10,01,42044,614,836,43494,20479,63973,M. Philippe BEURY,ENS,7898,12.35,18.79,Battu
10,01,42044,614,836,43494,20479,63973,Mme Alice BARRY,UG,6019,9.41,14.32,Battu
10,01,42044,614,836,43494,20479,63973,M. Chris MANIERI-BIGORGNE,LR,4921,7.69,11.7,Battu
10,01,42044,614,836,43494,20479,63973,M. Lionel PAILLARD,EXG,570,0.89,1.36,Battu
10,02,49780,451,708,50939,23037,73976,M. Albéric FERRAND,RN,22316,30.17,44.83,Qualif
10,02,49780,451,708,50939,23037,73976,Mme Valérie BAZIN-MALGRAS,LR,13902,18.79,27.93,Qualif
10,02,49780,451,708,50939,23037,73976,Mme Samira SEBBARI,UG,8256,11.16,16.58,Battu
10,02,49780,451,708,50939,23037,73976,Mme Salomé FONTAINE-GARCIA,ENS,4703,6.36,9.45,Battu
10,02,49780,451,708,50939,23037,73976,M. Romain VALLÉE,EXG,603,0.82,1.21,Battu
10,03,41731,309,531,42571,22892,65463,Mme Angélique RANC,RN,18084,27.62,43.33,Qualif
10,03,41731,309,531,42571,22892,65463,M. Olivier GIRARDIN,UG,10178,15.55,24.39,Qualif
10,03,41731,309,531,42571,22892,65463,M. Luc SCHERRER,ENS,6994,10.68,16.76,Battu
10,03,41731,309,531,42571,22892,65463,M. Didier LEPRINCE,LR,3654,5.58,8.76,Battu
10,03,41731,309,531,42571,22892,65463,M. Olivier RICHARD,DVD,1502,2.29,3.6,Battu
10,03,41731,309,531,42571,22892,65463,Mme Nelly COLLOT-TOUZÉ,ECO,970,1.48,2.32,Battu
10,03,41731,309,531,42571,22892,65463,M. Pascal ANDRIEUX,EXG,349,0.53,0.84,Battu
11,01,66724,1038,1706,69468,29751,99219,M. Christophe BARTHÈS,RN,32916,33.18,49.33,Qualif
11,01,66724,1038,1706,69468,29751,99219,M. Philippe POUTOU,UG,12475,12.57,18.7,Qualif
11,01,66724,1038,1706,69468,29751,99219,M. Jean-Claude PEREZ,ENS,11252,11.34,16.86,Battu
11,01,66724,1038,1706,69468,29751,99219,M. Aurélien TURCHETTO,DVG,8463,8.53,12.68,Battu
11,01,66724,1038,1706,69468,29751,99219,M. Fabrice COFFINET,REC,823,0.83,1.23,Battu
11,01,66724,1038,1706,69468,29751,99219,Mme Laure-Nelly AMALRIC,DVC,465,0.47,0.7,Battu
11,01,66724,1038,1706,69468,29751,99219,Mme Nicole GADRAT,EXG,326,0.33,0.49,Battu
11,01,66724,1038,1706,69468,29751,99219,M. Jean-Marc MARIN,LR,4,0,0.01,Battu
11,01,66724,1038,1706,69468,29751,99219,Mme Monique FERRÉ,REG,0,0,0,Battu
11,02,60702,911,1311,62924,29908,92832,M. Frédéric FALCON,RN,29212,31.47,48.12,Qualif
11,02,60702,911,1311,62924,29908,92832,Mme Viviane THIVENT,UG,15795,17.01,26.02,Qualif
11,02,60702,911,1311,62924,29908,92832,Mme Christine BREYTON,ENS,11727,12.63,19.32,Qualif
11,02,60702,911,1311,62924,29908,92832,M. Gérard LENFANT,DIV,1927,2.08,3.17,Battu
11,02,60702,911,1311,62924,29908,92832,M. Alain PEYRE,REC,969,1.04,1.6,Battu
11,02,60702,911,1311,62924,29908,92832,M. Alain BRUN,DVD,654,0.7,1.08,Battu
11,02,60702,911,1311,62924,29908,92832,Mme Annette VIGIER,EXG,418,0.45,0.69,Battu
11,02,60702,911,1311,62924,29908,92832,Mme Nicole GRAU,REG,0,0,0,Battu
11,03,62516,927,1322,64765,25093,89858,M. Julien RANCOULE,RN,27946,31.1,44.7,Qualif
11,03,62516,927,1322,64765,25093,89858,M. Philippe ANDRIEU,UG,20426,22.73,32.67,Qualif
11,03,62516,927,1322,64765,25093,89858,Mme Sylvie SOREL-LESTIN,ENS,8155,9.08,13.04,Battu
11,03,62516,927,1322,64765,25093,89858,M. Jean-François LECLERC,LR,2096,2.33,3.35,Battu
11,03,62516,927,1322,64765,25093,89858,Mme Christine CHAMPION,UDI,1868,2.08,2.99,Battu
11,03,62516,927,1322,64765,25093,89858,M. Bernard BIANCO,DIV,759,0.84,1.21,Battu
11,03,62516,927,1322,64765,25093,89858,Mme Nathalie MARTEEL,REC,681,0.76,1.09,Battu
11,03,62516,927,1322,64765,25093,89858,M. Dominique GALONNIER,EXG,585,0.65,0.94,Battu
12,01,55866,605,1307,57778,20567,78345,M. Stéphane MAZARS,ENS,24349,31.08,43.58,Qualif
12,01,55866,605,1307,57778,20567,78345,M. Jean-Philippe CHARTIER,RN,17586,22.45,31.48,Qualif
12,01,55866,605,1307,57778,20567,78345,M. Léon THEBAULT,UG,12702,16.21,22.74,Qualif
12,01,55866,605,1307,57778,20567,78345,M. Antoine DA CRUZ,DVD,811,1.04,1.45,Battu
12,01,55866,605,1307,57778,20567,78345,Mme Arlette SAINT-AVIT,EXG,418,0.53,0.75,Battu
12,02,48086,781,1399,50266,17951,68217,Mme Marie-Christine PAROLIN,RN,15922,23.34,33.11,Qualif
